CELL_LINE	TISSUE	COMPOUND_A	COMPOUND_B	MAX_CONC_A	IC50_A	H_A	Einf_A	MAX_CONC_B	IC50_B	H_B	Einf_B	SYNERGY_SCORE	COMBINATION_ID	DATASET	SYNERGY_PRED
CAMA-1	breast	MAP2K_1	ADAM17	1	1	0	100	75	1	0	100	-1.800398	ADAM17.MAP2K_1	train	-4.635381
DU-4475	breast	MAP2K_1	ADAM17	1	0.020731106	2.0999805	0	75	34.79576036	0.5542895	0	13.91472	ADAM17.MAP2K_1	train	7.217332
HCC1143	breast	MAP2K_1	ADAM17	1	0.043476892	1.4064031	67.02537454	75	0.737686901	10	89.09999872	16.41538	ADAM17.MAP2K_1	train	-3.1703272
HCC1187	breast	MAP2K_1	ADAM17	1	0.2216958	0.4144753	21.95251432	75	1	0	100	-15.21563	ADAM17.MAP2K_1	train	-3.517115
HCC1395	breast	MAP2K_1	ADAM17	1	0.076732378	0.7601594	76.19423244	75	75	0.4515384	86.36457426	5.722309	ADAM17.MAP2K_1	train	9.869054
HCC1937	breast	MAP2K_1	ADAM17	1	0.025349307	1.5962705	85.57410212	75	75	0.2035039	88.7905746	11.9905	ADAM17.MAP2K_1	train	9.512868
HCC38	breast	MAP2K_1	ADAM17	1	1	0	100	75	1	0	100	5.742608	ADAM17.MAP2K_1	train	-1.9550526
MDA-MB-436	breast	MAP2K_1	ADAM17	1	0.225686973	0.5339835	43.78283732	75	1	0	100	0.01351545	ADAM17.MAP2K_1	train	-3.7683074
MDA-MB-453	breast	MAP2K_1	ADAM17	1	1	0	100	75	0.0075	0.1	94.51706033	-41.87792	ADAM17.MAP2K_1	train	-4.718099
BT-20	breast	MTOR_1	ADAM17	1	0.605687563	1.2654588	0	75	75	0.8477869	68.22682053	18.30981	ADAM17.MTOR_1	train	21.153826
CAMA-1	breast	MTOR_1	ADAM17	1	0.485716842	1.5216843	4.35688537	75	0.0075	0.1	88.88012885	-10.6617	ADAM17.MTOR_1	train	4.7345366
DU-4475	breast	MTOR_1	ADAM17	1	0.204543966	2.5341734	21.5668768	75	39.48870844	0.843183	0	28.03853	ADAM17.MTOR_1	train	11.16215
HCC1187	breast	MTOR_1	ADAM17	1	0.266598382	10	13.5989091	75	1	0	100	-5.601741	ADAM17.MTOR_1	train	0.19974858
HCC1395	breast	MTOR_1	ADAM17	1	0.696868982	0.7587955	0	75	47.61171748	0.1	76.01912514	3.001454	ADAM17.MTOR_1	train	6.0114436
HCC1428	breast	MTOR_1	ADAM17	1	0.325342324	10	50.59933862	75	1	0	100	5.565547	ADAM17.MTOR_1	train	6.3800845
HCC1806	breast	MTOR_1	ADAM17	1	0.347728705	1.2629858	0	75	1	0	100	48.54537	ADAM17.MTOR_1	train	22.851294
MDA-MB-231	breast	MTOR_1	ADAM17	1	0.402675902	0.937076	16.1590358	75	1	0	100	13.15388	ADAM17.MTOR_1	train	10.153701
MDA-MB-436	breast	MTOR_1	ADAM17	1	0.195210716	3.1610905	28.63606438	75	1	0	100	6.743824	ADAM17.MTOR_1	train	3.123294
MDA-MB-453	breast	MTOR_1	ADAM17	1	0.274518195	10	14.5990224	75	1	0	100	-11.08194	ADAM17.MTOR_1	train	5.100898
CAMA-1	breast	PIK3C	ADAM17	1	1	1.9510265	7.0333385	75	0.615639894	0.6087861	91.55943613	-7.76057	ADAM17.PIK3C	train	8.123197
HCC1806	breast	PIK3C	ADAM17	1	0.327702197	10	26.49892877	75	1	0	100	80.9991	ADAM17.PIK3C	train	23.88611
HCC70	breast	PIK3C	ADAM17	1	0.359904181	10	42.59790667	75	1	0	100	36.66062	ADAM17.PIK3C	train	11.809852
MDA-MB-157	breast	PIK3C	ADAM17	1	0.213489145	0.8908223	54.80015184	75	33.76955423	1.397694	92.88769551	34.97328	ADAM17.PIK3C	train	18.347185
MDA-MB-231	breast	PIK3C	ADAM17	1	0.180376202	0.8966292	63.60149112	75	75	0.3864103	87.8022141	5.78087	ADAM17.PIK3C	train	10.029382
MDA-MB-453	breast	PIK3C	ADAM17	1	0.217106729	2.8991948	13.0986261	75	1	0	100	11.19242	ADAM17.PIK3C	train	11.679339
MDA-MB-468	breast	PIK3C	ADAM17	1	1	0	100	75	1	0	100	-11.91822	ADAM17.PIK3C	train	7.1376166
MFM-223	breast	PIK3C	ADAM17	1	0.244419289	1.6967242	40.11335669	75	75	1.8437271	83.95964752	2.272833	ADAM17.PIK3C	train	3.5997796
M14	melanoma	PIK3C	ADAM17	1	0.308036694	10	55.09962372	75	0.0075	0.1	94.2352171	37.07141	ADAM17.PIK3C	train	16.62929
CAL-148	breast	PIK3CB_PIK3CD	ADAM17	1	0.331855714	2.698131	17.086469	75	1	0	100	-22.06479	ADAM17.PIK3CB_PIK3CD	train	0.9882465
HCC1143	breast	PIK3CB_PIK3CD	ADAM17	1	0.221232701	0.7390243	61.40457616	75	0.88526659	10	84.99989563	34.24538	ADAM17.PIK3CB_PIK3CD	train	0.71930045
HCC1187	breast	PIK3CB_PIK3CD	ADAM17	1	0.309892385	10	74.4997625	75	1	0	100	3.157859	ADAM17.PIK3CB_PIK3CD	train	0.9014837
HCC1395	breast	PIK3CB_PIK3CD	ADAM17	1	0.088649987	0.3479042	41.86456382	75	75	1.0666862	83.89581448	10.67811	ADAM17.PIK3CB_PIK3CD	train	3.9654493
HCC1428	breast	PIK3CB_PIK3CD	ADAM17	1	1	0	100	75	1	0	100	8.341717	ADAM17.PIK3CB_PIK3CD	train	8.389471
HCC1806	breast	PIK3CB_PIK3CD	ADAM17	1	0.186067205	1.6790956	90.48303234	75	75	0.1905866	91.42221993	2.673332	ADAM17.PIK3CB_PIK3CD	train	10.858566
HCC38	breast	PIK3CB_PIK3CD	ADAM17	1	0.128411677	1.1401404	83.14393235	75	1	0	100	12.29698	ADAM17.PIK3CB_PIK3CD	train	6.8001647
Hs-578-T	breast	PIK3CB_PIK3CD	ADAM17	1	1	0.3251117	27.55487037	75	0.0075	0.1	71.47072724	8.182737	ADAM17.PIK3CB_PIK3CD	train	2.7113116
MDA-MB-157	breast	PIK3CB_PIK3CD	ADAM17	1	1	0.219944	0.96308739	75	0.729082264	10	87.89998986	4.985632	ADAM17.PIK3CB_PIK3CD	train	11.505916
MDA-MB-468	breast	PIK3CB_PIK3CD	ADAM17	1	0.0001	0.1	94.07450183	75	1	0	100	13.55083	ADAM17.PIK3CB_PIK3CD	train	11.932979
MFM-223	breast	PIK3CB_PIK3CD	ADAM17	1	1	0.3926152	45.66550563	75	0.765201846	10	91.99998861	-15.22839	ADAM17.PIK3CB_PIK3CD	train	1.5055404
M14	melanoma	PIK3CB_PIK3CD	ADAM17	1	0.475349779	0.6757956	0	75	0.461424392	1.4729437	82.67273131	31.87283	ADAM17.PIK3CB_PIK3CD	train	15.69515
CAMA-1	breast	AKT_1	AKT	1	0.204065844	1.4750579	47.97346672	1	0.18219236	2.529306	33.50489924	13.01508	AKT.AKT_1	train	0.57157093
BFTC-905	Bladder	ATR_4	AKT	3	0.980861481	1.9514052	0.87198217	3	0.431346599	1.3683925	29.29772121	-14.1991	AKT.ATR_4	train	11.321186
HT-1197	Bladder	ATR_4	AKT	3	3	0.7437595	18.50990044	1	0.119006782	1.1677708	48.62600643	-12.90671	AKT.ATR_4	train	-10.025521
HT-1376	Bladder	ATR_4	AKT	3	0.99706367	10	38.8989183	3	0.184472029	0.707903	23.29124178	6.599677	AKT.ATR_4	train	-5.664882
J82	Bladder	ATR_4	AKT	3	0.781541949	2.760254	42.96683842	3	0.716815045	1.2008159	27.17444691	1.473032	AKT.ATR_4	train	0.14912969
SW780	Bladder	ATR_4	AKT	3	3	0.8249136	78.10303711	3	0.292447559	1.4247541	19.475666	-10.00055	AKT.ATR_4	train	-10.475373
T-24	Bladder	ATR_4	AKT	3	1.024919271	10	7.69795337	3	1	0	100	-26.02004	AKT.ATR_4	train	-17.744612
TCCSUP	Bladder	ATR_4	AKT	3	0.640795998	2.1107639	19.07506049	3	0.510841254	0.7630883	52.13376867	-9.940468	AKT.ATR_4	train	-3.3297527
Calu-6	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.03	0.010394843	1.3717221	0	3	0.03633312	1.0720487	70.01248118	73.02446	AKT.CSNK2A1_2	train	21.65566
DMS-114	lung_small_cell_carcinoma	CSNK2A1_2	AKT	0.03	0.006695559	2.5214477	13.72056572	3	2.269013389	1.0746787	0	2.965218	AKT.CSNK2A1_2	train	18.629065
NCI-H1437	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.1	0.009332192	2.9569306	13.12352278	3	1.950900898	2.33301	0	84.61169	AKT.CSNK2A1_2	train	39.476444
NCI-H1703	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.1	0.010632726	3.2111803	11.33381982	3	0.006865193	0.6639496	9.70857688	20.9673	AKT.CSNK2A1_2	train	9.239646
NCI-H1793	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.1	0.011763718	1.6387627	5.02876153	3	3	1.1922244	44.49546473	86.79528	AKT.CSNK2A1_2	train	56.774727
NCI-H2085	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.03	0.015271873	1.0418354	3.10995756	3	3	0.6219385	13.14693631	27.41059	AKT.CSNK2A1_2	train	43.942043
NCI-H2228	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.1	0.03012002	0.7363036	0	3	0.346264705	0.5907502	0	42.21827	AKT.CSNK2A1_2	train	41.01457
NCI-H23	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.1	0.006210403	1.1627392	5.59894814	3	0.349213203	0.3620847	0	24.16315	AKT.CSNK2A1_2	train	32.620365
NCI-H520	lung_NSCLC_squamous_cell_carcinoma	CSNK2A1_2	AKT	0.03	0.007807537	0.9154605	0	3	0.54896783	0.9130528	34.54187734	15.52841	AKT.CSNK2A1_2	train	21.981968
NCI-H522	lung_NSCLC_adenocarcinoma	CSNK2A1_2	AKT	0.03	0.003040817	10	7.34964368	3	0.175966979	0.4201401	0	25.75817	AKT.CSNK2A1_2	train	36.18205
CAMA-1	breast	Chloroquine	AKT	1	1	0	100	1	0.154730759	3.4646384	42.06744168	13.53424	AKT.Chloroquine	train	0.11278539
HCC1500	breast	Chloroquine	AKT	1	0.356286842	10	71.69906182	1	1	1.4519821	34.25977111	4.386597	AKT.Chloroquine	train	-0.25544947
MCF7	breast	Chloroquine	AKT	1	1	0	100	1	0.335637982	10	71.89948929	24.88766	AKT.Chloroquine	train	2.3257024
647-V	Bladder	ERBB	AKT	0.1	0.1	0.8486178	49.82420243	3	0.407100412	1.3522296	4.19654909	-1.172512	AKT.ERBB	train	27.355062
BFTC-905	Bladder	ERBB	AKT	3	1	0	100	3	0.304681813	10	54.69988135	114.3452	AKT.ERBB	train	36.84116
HT-1376	Bladder	ERBB	AKT	1	0.09903298	0.8718467	45.59204666	3	0.185525235	0.7176284	30.00263589	58.82512	AKT.ERBB	train	28.647913
J82	Bladder	ERBB	AKT	3	0.0003	0.1	86.13549347	3	1.505053852	0.7122453	0	23.4819	AKT.ERBB	train	26.025534
VCaP	prostate	ERBB	AKT	3	0.814719284	2.5650621	77.34244917	1	0.437596829	1.3963082	57.87553132	5.142114	AKT.ERBB	train	18.141367
T-24	Bladder	ERBB	AKT	3	1.28476503	10	84.09670069	3	1	0	100	-12.38291	AKT.ERBB	train	8.018989
UM-UC-3	Bladder	ERBB	AKT	3	3	1.2211735	38.00279597	3	3	1.4874399	48.32013755	-4.028207	AKT.ERBB	train	24.263605
647-V	Bladder	FGFR	AKT	3	1	0	100	3	0.660360558	1.7819472	7.3889885	-41.87943	AKT.FGFR	train	9.710956
22RV1	prostate	FGFR	AKT	3	3	10	49.80021686	1	0.098900794	10	75.54982509	-13.81908	AKT.FGFR	train	-7.897572
22RV1	prostate	FGFR	AKT	3	3	1.1124338	28.23322981	1	0.245768687	4.036008	64.68045585	-3.384268	AKT.FGFR	train	-1.9440548
T-24	Bladder	FGFR	AKT	3	1	0	100	3	1	0	100	-30.95454	AKT.FGFR	train	-8.775964
TCCSUP	Bladder	FGFR	AKT	3	0.031755742	1.6048452	57.970278	3	0.215065357	1.2950605	64.58618258	74.1667	AKT.FGFR	train	18.108768
UM-UC-3	Bladder	FGFR	AKT	3	1	0	100	3	1.108597814	10	78.6989883	-4.248463	AKT.FGFR	train	0.8260904
BFTC-905	Bladder	HDAC_4	AKT	3	0.555464265	2.7612569	19.39350323	3	0.301713897	10	50.79976644	2.133099	AKT.HDAC_4	train	9.658847
HCC1500	breast	HDAC_4	AKT	1	0.4284829	1.78812	16.77832743	1	0.325242197	10	65.2995081	-24.86501	AKT.HDAC_4	train	-6.44733
HT-1376	Bladder	HDAC_4	AKT	3	0.419382659	2.7617318	35.95241359	3	0.079029537	0.989329	33.89094593	-12.20187	AKT.HDAC_4	train	-4.68963
J82	Bladder	HDAC_4	AKT	3	1.087978794	1.6053104	9.70792096	3	1.663640605	0.6002457	0	-5.847473	AKT.HDAC_4	train	4.0243645
SW780	Bladder	HDAC_4	AKT	3	0.905737563	0.4727892	0	3	0.213523523	1.8105248	19.75892461	20.32464	AKT.HDAC_4	train	-1.8009486
T-24	Bladder	HDAC_4	AKT	3	1.120697296	10	10.895278	3	1	0	100	-9.996189	AKT.HDAC_4	train	-11.974923
TCCSUP	Bladder	HDAC_4	AKT	3	0.601997228	1.1994691	0	3	0.082556326	0.667063	43.69435114	-16.70528	AKT.HDAC_4	train	-2.0186298
UACC-812	breast	HDAC_4	AKT	1	1	2.6302895	46.81159364	1	1	2.1290049	2.08014303	-22.21899	AKT.HDAC_4	train	-3.7908924
BT-20	breast	PIK3CA_4	AKT	1	0.208946057	1.2631686	58.79597362	1	0.190101078	3.2412186	78.74518968	12.91164	AKT.PIK3CA_4	train	15.259106
CAL-148	breast	PIK3CA_4	AKT	1	1	0.9774867	25.19258049	1	0.135184258	1.2394181	0	9.595285	AKT.PIK3CA_4	train	4.9738984
CAMA-1	breast	PIK3CA_4	AKT	1	0.295412947	10	94.79995522	1	0.142178068	1.2971714	7.40032662	10.95871	AKT.PIK3CA_4	train	0.826425
DU-4475	breast	PIK3CA_4	AKT	1	0.504695649	1.0092727	0	1	0.381480878	10	54.19700951	22.08577	AKT.PIK3CA_4	train	-0.7894556
HCC1187	breast	PIK3CA_4	AKT	1	0.155579677	1.4474161	51.59351453	1	1	0.8931202	20.73036674	2.609344	AKT.PIK3CA_4	train	6.2355723
HCC1937	breast	PIK3CA_4	AKT	1	1	0.7151423	71.46127973	1	0.104668398	1.0415326	65.51742709	2.647406	AKT.PIK3CA_4	train	3.4827902
MDA-MB-157	breast	PIK3CA_4	AKT	1	1	0.3865394	52.74351148	1	0.203047686	3.2977051	52.68427356	-5.720383	AKT.PIK3CA_4	train	11.718396
MDA-MB-231	breast	PIK3CA_4	AKT	1	0.293974105	10	91.09994438	1	1	0.8885027	72.06671095	-1.718373	AKT.PIK3CA_4	train	3.6981082
MDA-MB-436	breast	PIK3CA_4	AKT	1	0.28931649	3.0080575	85.76780278	1	0.189363794	2.9793118	72.95327884	-9.456454	AKT.PIK3CA_4	train	-2.877666
MDA-MB-453	breast	PIK3CA_4	AKT	1	0.148812841	0.874294	0	1	0.316040605	0.9931648	0	6.010587	AKT.PIK3CA_4	train	14.937755
MFM-223	breast	PIK3CA_4	AKT	1	0.792366217	0.5269928	0	1	0.151881908	0.9840588	0	6.784097	AKT.PIK3CA_4	train	5.120623
M14	melanoma	PIK3CA_4	AKT	1	0.274531362	10	75.99971187	1	0.279011579	10	34.39964607	-0.7425711	AKT.PIK3CA_4	train	4.218908
BT-20	breast	PIK3C_2	AKT	1	0.859817884	1.2863173	0	1	1	0.7339212	44.03727212	3.443067	AKT.PIK3C_2	train	16.563381
BT-549	breast	PIK3C_2	AKT	1	0.331070308	10	40.39904615	1	0.234812607	3.1495762	52.69095311	3.142523	AKT.PIK3C_2	train	-1.3350651
CAMA-1	breast	PIK3C_2	AKT	1	0.371593734	10	44.89723065	1	0.126380262	1.1348007	7.0952965	-15.07413	AKT.PIK3C_2	train	3.4191523
HCC1143	breast	PIK3C_2	AKT	1	0.325688887	10	55.79939896	1	1	0.6648642	40.45802375	-18.28101	AKT.PIK3C_2	train	-1.3812609
HCC1428	breast	PIK3C_2	AKT	1	0.297000303	10	38.29942399	1	0.0001	0.1	93.92849929	1.231675	AKT.PIK3C_2	train	-2.7316375
HCC1806	breast	PIK3C_2	AKT	1	0.348873035	10	16.5977691	1	0.322092665	10	48.09936281	-15.70878	AKT.PIK3C_2	train	8.221093
HCC1937	breast	PIK3C_2	AKT	1	0.326713718	10	74.89965097	1	0.233448201	1.8318019	67.67169429	16.42842	AKT.PIK3C_2	train	1.0240142
HCC38	breast	PIK3C_2	AKT	1	0.383621242	10	42.89605803	1	1	10	91.00025555	-2.30333	AKT.PIK3C_2	train	1.1909742
MDA-MB-468	breast	PIK3C_2	AKT	1	0.384200918	10	61.39729461	1	0.266781771	2.0956776	35.96158271	3.043114	AKT.PIK3C_2	train	23.497446
M14	melanoma	PIK3C_2	AKT	1	0.312935365	10	64.89966565	1	0.233881403	1.2693363	20.41684793	12.29004	AKT.PIK3C_2	train	7.1303334
BFTC-905	Bladder	TNF	AKT	0.1	0.002355389	1.3525166	42.58467023	3	0.134912816	2.8429019	43.86521526	108.1946	AKT.TNF	train	66.97479
HT-1197	Bladder	TNF	AKT	0.1	0.001029262	1.0788876	53.25729981	1	1	0.3333529	13.37095066	35.02862	AKT.TNF	train	44.448307
J82	Bladder	TNF	AKT	0.1	0.1	0.3892358	46.63112045	3	0.635865702	0.77915	21.384607	37.71558	AKT.TNF	train	49.81548
SW780	Bladder	TNF	AKT	0.03	0.03	0.2631948	2.24046635	3	0.547330645	1.1936284	20.2577313	24.32147	AKT.TNF	train	43.982464
T-24	Bladder	TNF	AKT	0.03	1	0	100	3	1	0	100	-5.950885	AKT.TNF	train	27.647562
BT-20	breast	AKT_1	AKT	1	0.258829507	2.6522928	63.9329888	1	0.457555312	1.9626393	80.81186035	20.26494	AKT.AKT_1	train	14.867539
CAL-51	breast	AKT_1	AKT	1	0.350374087	2.8549052	61.35838442	1	0.703133704	0.663661	0	-14.69828	AKT.AKT_1	train	2.7131472
CAMA-1	breast	AKT_1	AKT	1	0.351721675	4.8387182	29.55407504	1	0.14638144	1.2540583	7.6444549	4.071763	AKT.AKT_1	train	2.2158105
HCC1187	breast	AKT_1	AKT	1	0.097380527	0.9275172	43.21471695	1	0.748323325	0.921178	14.76174484	10.36244	AKT.AKT_1	train	4.1919794
HCC1428	breast	AKT_1	AKT	1	0.0001	0.1	84.31880972	1	0.00813195	10	90.42501465	9.317672	AKT.AKT_1	train	-2.8590493
HCC1806	breast	AKT_1	AKT	1	0.219929431	1.699701	23.85626697	1	1	1.3434116	8.97168521	7.281745	AKT.AKT_1	train	12.119431
HCC1937	breast	AKT_1	AKT	1	0.173163739	2.0567239	77.21261732	1	0.114822296	1.2772776	70.87526634	2.248126	AKT.AKT_1	train	1.7171056
Hs-578-T	breast	AKT_1	AKT	1	0.266753736	2.0259368	56.79158906	1	0.45505486	2.7418437	65.08913544	12.73991	AKT.AKT_1	train	6.0894284
MDA-MB-157	breast	AKT_1	AKT	1	0.273608498	10	71.19925913	1	1	0.524746	52.82954956	10.64372	AKT.AKT_1	train	12.769181
MDA-MB-231	breast	AKT_1	AKT	1	0.224581174	1.3741712	74.88281992	1	0.367317777	10	81.99919478	-1.243352	AKT.AKT_1	train	1.6666136
MDA-MB-436	breast	AKT_1	AKT	1	0.155502449	3.0509571	80.92391321	1	0.152421805	1.8022773	68.99143067	-13.70829	AKT.AKT_1	train	-0.5336599
MDA-MB-453	breast	AKT_1	AKT	1	0.082560013	1.2547904	7.78983772	1	0.208187586	1.3756132	20.85674966	17.30208	AKT.AKT_1	train	12.5286455
MFM-223	breast	AKT_1	AKT	1	0.216130871	1.1743659	14.46998387	1	0.165307885	1.1014474	3.59609066	7.25458	AKT.AKT_1	train	2.8633444
M14	melanoma	AKT_1	AKT	1	1	10	80.20002607	1	0.279933254	2.1130974	24.42183861	-6.729425	AKT.AKT_1	train	0.19676596
BT-549	breast	PIK3C	AKT_1	1	0.29092323	1.5991604	23.47058745	1	0.852347706	0.6854461	0	22.94989	AKT_1.PIK3C	train	28.617788
CAL-120	breast	PIK3C	AKT_1	1	0.325080321	10	77.69969143	1	1	0	100	29.05815	AKT_1.PIK3C	train	24.297812
CAMA-1	breast	PIK3C	AKT_1	1	0.360270524	10	54.39831936	1	0.339574434	3.3347802	24.90585581	56.20645	AKT_1.PIK3C	train	32.905712
DU-4475	breast	PIK3C	AKT_1	1	0.198447311	3.7222611	1.40404335	1	0.237021879	2.0701331	2.88015987	27.79395	AKT_1.PIK3C	train	32.32876
HCC1187	breast	PIK3C	AKT_1	1	0.28421544	10	27.99943777	1	0.142855051	2.3550871	45.54347266	39.19775	AKT_1.PIK3C	train	28.201538
HCC1806	breast	PIK3C	AKT_1	1	0.308850689	10	23.09931593	1	0.324659905	2.3110371	30.10163306	71.09962	AKT_1.PIK3C	train	45.31875
HCC70	breast	PIK3C	AKT_1	1	1	10	26.00045101	1	0.329528309	10	62.2993737	48.69135	AKT_1.PIK3C	train	25.35906
MDA-MB-157	breast	PIK3C	AKT_1	1	0.043258688	0.8063806	62.94604569	1	1	0.2281645	50.53222965	22.51686	AKT_1.PIK3C	train	41.944725
MDA-MB-231	breast	PIK3C	AKT_1	1	0.161137788	0.8679351	74.74082131	1	0.55465168	1.0758613	71.43944939	27.26663	AKT_1.PIK3C	train	29.425962
MDA-MB-453	breast	PIK3C	AKT_1	1	0.218406657	2.7946779	11.8723551	1	0.091568837	1.296688	7.8268387	34.57878	AKT_1.PIK3C	train	41.83395
MDA-MB-468	breast	PIK3C	AKT_1	1	1	10	88.800194	1	0.344364873	10	65.19917545	64.39026	AKT_1.PIK3C	train	39.260166
MFM-223	breast	PIK3C	AKT_1	1	0.349564148	0.9560361	21.40405424	1	0.245337265	0.8134426	3.80159122	33.47378	AKT_1.PIK3C	train	33.71989
CAL-51	breast	PIK3CB_PIK3CD	AKT_1	1	0.350489048	10	89.09969194	1	0.303868458	2.6180578	69.52861221	0.33427	AKT_1.PIK3CB_PIK3CD	train	20.804007
