Compound	Target	Function	Pathway
MTOR_3	MTOR	Oncogenic signal	AKT/PI3K
MTOR_4	MTOR	Oncogenic signal	AKT/PI3K
MTOR_5	MTOR	Oncogenic signal	AKT/PI3K
NAE	"NAE1;NAE2"	Metabolism	Metabolism
Oxaliplatin	DNA	DNA repair	Chemo
PARP1	PARP1	DNA repair	DNA Damage Response
PARP1_2	PARP1	DNA repair	DNA Damage Response
PDGFR_Ab	PDGFRA	Oncogenic signal	RTK
PI3KCD	PIK3CD	Oncogenic signal	AKT/PI3K
PIK3C	PIK3C*	Oncogenic signal	AKT/PI3K
PIK3C_2	PIK3C*	Oncogenic signal	AKT/PI3K
PIK3C_MTOR	"PIK3C*;MTOR"	Oncogenic signal	AKT/PI3K
PIK3C_MTOR_2	"PIK3C*;MTOR"	Oncogenic signal	AKT/PI3K
PIK3CA_2	PIK3CA	Oncogenic signal	AKT/PI3K
PIK3CA_3	PIK3CA	Oncogenic signal	AKT/PI3K
PIK3CA_4	PIK3CA	Oncogenic signal	AKT/PI3K
PIK3CB	PIK3CB	Oncogenic signal	AKT/PI3K
PIK3CB_PIK3CD	"PIK3CB;PIK3CD"	Oncogenic signal	AKT/PI3K
PIM1	PIM1	Oncogenic signal	STK
PIP5K1	PIP5K1*	Metabolism	Metabolism
PRKC	PRKC*	Differentiation	EMT/migration
PRKDC_2	PRKDC	DNA repair	DNA Damage Response
Proteasome	Proteasome	Cell death	Apoptosis
Proteasome_2	Proteasome	Cell death	Apoptosis
PTK2	PTK2*	Differentiation	EMT/migration
PTK2_2	PTK2*	Differentiation	EMT/migration
SLC16A4	"SLC16A3;SLC16A4"	Metabolism	Metabolism
SN38	"TOP1;TOP2*"	DNA repair	Chemo
SRC	SRC	Oncogenic signal	RTK
SYK	SYK	Oncogenic signal	Cell Cycle
TKI	"KDR;EGFR;RET"	Oncogenic signal	RTK
TKI_2	"VEGFR2;TIE2"	Differentiation	EMT/migration
TNF	TNFA	Cell death	Apoptosis
TNFSF10	TNFSF10	Cell death	Apoptosis
TNKS_PARP6	"TNKS;PARP6"	Oncogenic signal	Cell Cycle
TOP2	"TOP2*;PRKDC"	DNA repair	DNA Damage Response
TOP2_2	TOP2*	DNA repair	Chemo
Topotecan	"TOP1;TOP1MT;DNA"	DNA repair	Chemo
TTK	TTK	Oncogenic signal	STK
TYMS	TYMS	DNA repair	Cell Cycle
VEGF	"KDR;FLT1;FLT4"	Differentiation	EMT/migration
Vinorelbine	"microtubule;TUBB"	DNA repair	Chemo
WEE1	WEE1	DNA repair	DNA Damage Response
WNT	"WNT*;TNKS"	Differentiation	EMT/migration
